issn|area|titulo|estrato|classificacao
1537-7385|INTERDISCIPLINAR|American Journal of Physical Medicine and Rehabilitation|A2|Atualizada em 2012
0363-6135|INTERDISCIPLINAR|American Journal of Physiology. Heart and Circulatory Physiology|A2|Atualizada em 2012
0363-6119|INTERDISCIPLINAR|American Journal of Physiology. Regulatory, Integrative and Comparative Physiology|A2|Atualizada em 2012
0092-5853|INTERDISCIPLINAR|American Journal of Political Science|A1|Atualizada em 2012
0275-2565|INTERDISCIPLINAR|American Journal of Primatology|A2|Atualizada em 2012
0090-0036|INTERDISCIPLINAR|American Journal of Public Health (1971)|A1|Atualizada em 2012
1073-449X|INTERDISCIPLINAR|American Journal of Respiratory and Critical Care Medicine|A1|Atualizada em 2012
0002-9645|INTERDISCIPLINAR|American Journal of Veterinary Research|B1|Atualizada em 2012
0003-0082|INTERDISCIPLINAR|American Museum Novitates|B1|Atualizada em 2012
0044-7870|INTERDISCIPLINAR|American Society for Information Science & Technology. Annual Meeting Proceedings|B1|Atualizada em 2012
2151-0032|INTERDISCIPLINAR|American Society of Agricultural and Biological Engineers. Transactions|B1|Atualizada em 2012
1559-4076|INTERDISCIPLINAR|AMIA ... Annual Symposium proceedings|C|Atualizada em 2012
1807-1090|INTERDISCIPLINAR|Amicus Curiae (UNESC)|B4|Atualizada em 2012
0939-4451|INTERDISCIPLINAR|Amino Acids (Wien. Print)|A1|Atualizada em 2012
0173-5373|INTERDISCIPLINAR|Amphibia-Reptilia|B1|Atualizada em 2012
1573-3416|INTERDISCIPLINAR|An International Journal of Politics, Culture and Society (Dordrecht. Online)|A2|Atualizada em 2012
1075-9964|INTERDISCIPLINAR|Anaerobe (London. Print)|A2|Atualizada em 2012
1980-4563|INTERDISCIPLINAR|Anais (Simpósio Nacional de Geografia Agrária ... Simpósio Internacional de Geografia Agrária. CD-Rom)|C|Atualizada em 2012
1808-9755|INTERDISCIPLINAR|Anais - Encontro Nacional de Turismo com Base Local|C|Atualizada em 2012
1809-2616|INTERDISCIPLINAR|Anais - Fórum de Pesquisa Científica em Arte|C|Atualizada em 2012
1676-0417|INTERDISCIPLINAR|Anais - Seminário Internacional de Educação|C|Atualizada em 2012
1982-4416|INTERDISCIPLINAR|Anais ... SBPJor - Encontro Nacional de Pesquisadores em Jornalismo|C|Atualizada em 2012
1983-0653|INTERDISCIPLINAR|Anais ... Simpósio Brasileiro de Engenharia Ambiental|C|Atualizada em 2012
0365-0596|INTERDISCIPLINAR|Anais Brasileiros de Dermatologia|B2|Atualizada em 2012
0001-3765|INTERDISCIPLINAR|Anais da Academia Brasileira de Ciências|A2|Atualizada em 2012
2178-6127|INTERDISCIPLINAR|Anais da ANPPAS|C|Atualizada em 2012
1519-2954|INTERDISCIPLINAR|Anais da Faculdade de Odontologia de Ribeirão Preto da Universidade de São Paulo|B3|Atualizada em 2012
1808-7639|INTERDISCIPLINAR|Anais de Eventos da UFSCar|C|Atualizada em 2012
